[0.000000] (-) TimerEvent: {}
[0.000246] (-) JobUnselected: {'identifier': 'apriltag'}
[0.000318] (-) JobUnselected: {'identifier': 'apriltag_msgs'}
[0.000335] (-) JobUnselected: {'identifier': 'apriltag_ros'}
[0.000346] (-) JobUnselected: {'identifier': 'cartographer'}
[0.000356] (-) JobUnselected: {'identifier': 'costmap_converter'}
[0.000367] (-) JobUnselected: {'identifier': 'costmap_converter_msgs'}
[0.000377] (-) JobUnselected: {'identifier': 'emcl2'}
[0.000388] (-) JobUnselected: {'identifier': 'explore_lite'}
[0.000398] (-) JobUnselected: {'identifier': 'ldlidar'}
[0.000408] (-) JobUnselected: {'identifier': 'openslam_gmapping'}
[0.000419] (-) JobUnselected: {'identifier': 'rf2o_laser_odometry'}
[0.000429] (-) JobUnselected: {'identifier': 'robot_pose_publisher'}
[0.000511] (-) JobUnselected: {'identifier': 'slam_gmapping'}
[0.000521] (-) JobUnselected: {'identifier': 'teb_local_planner'}
[0.000531] (-) JobUnselected: {'identifier': 'teb_msgs'}
[0.000542] (-) JobUnselected: {'identifier': 'ugv_base_node'}
[0.000552] (-) JobUnselected: {'identifier': 'ugv_bringup'}
[0.000563] (-) JobUnselected: {'identifier': 'ugv_chat_ai'}
[0.000573] (-) JobUnselected: {'identifier': 'ugv_description'}
[0.000584] (-) JobUnselected: {'identifier': 'ugv_gazebo'}
[0.000594] (-) JobUnselected: {'identifier': 'ugv_interface'}
[0.000605] (-) JobUnselected: {'identifier': 'ugv_nav'}
[0.000615] (-) JobUnselected: {'identifier': 'ugv_slam'}
[0.000625] (-) JobUnselected: {'identifier': 'ugv_tools'}
[0.000635] (-) JobUnselected: {'identifier': 'ugv_vision'}
[0.000646] (-) JobUnselected: {'identifier': 'ugv_web_app'}
[0.000656] (-) JobUnselected: {'identifier': 'vizanti'}
[0.000666] (-) JobUnselected: {'identifier': 'vizanti_cpp'}
[0.000677] (-) JobUnselected: {'identifier': 'vizanti_demos'}
[0.000687] (-) JobUnselected: {'identifier': 'vizanti_msgs'}
[0.000697] (-) JobUnselected: {'identifier': 'vizanti_server'}
[0.000877] (-) EventReactorShutdown: {}
