x,y,yaw
9.999999955296516863e-01,-1.341104505225843013e-08,0.000000000000000000e+00
1.010488524500537055e+00,-3.266721890893276026e-05,0.000000000000000000e+00
1.020488505203533736e+00,-4.899412284087301117e-05,0.000000000000000000e+00
1.030488485906530416e+00,-7.119566043056746452e-05,0.000000000000000000e+00
1.040488447536041194e+00,-9.892850893178373184e-05,0.000000000000000000e+00
1.050488390092066071e+00,-1.344051927091305387e-04,0.000000000000000000e+00
1.060488294501119144e+00,-1.770535071855539044e-04,0.000000000000000000e+00
1.070488160763200414e+00,-2.293911525000913443e-04,0.000000000000000000e+00
1.080487969804823978e+00,-2.905407483012600878e-04,0.000000000000000000e+00
1.090487702552503935e+00,-3.631725826153120451e-04,0.000000000000000000e+00
1.100487359006240284e+00,-4.462185402317464522e-04,0.000000000000000000e+00
1.110486901019061223e+00,-5.424252031204224167e-04,0.000000000000000000e+00
1.120486290443994948e+00,-6.504574272682139835e-04,0.000000000000000000e+00
1.130485565428013262e+00,-7.732525295039982538e-04,0.000000000000000000e+00
1.140484611530200754e+00,-9.090938960966132854e-04,0.000000000000000000e+00
1.150282165327321637e+00,1.092897331128050986e-03,0.000000000000000000e+00
1.160126945075535376e+00,2.848077650783431558e-03,0.000000000000000000e+00
1.169991141632397147e+00,4.490495521787374322e-03,0.000000000000000000e+00
1.179871283623472822e+00,6.034227176735407205e-03,0.000000000000000000e+00
1.189768629898831920e+00,7.463365328385429542e-03,0.000000000000000000e+00
1.199672651894256648e+00,8.845391969858007464e-03,0.000000000000000000e+00
1.209584494018901113e+00,1.017027444756879451e-02,0.000000000000000000e+00
1.219496755760235418e+00,1.149206702056349005e-02,0.000000000000000000e+00
1.229409856734949402e+00,1.280760349018239541e-02,0.000000000000000000e+00
1.239317464545723668e+00,1.416376648477213340e-02,0.000000000000000000e+00
1.249218739959178537e+00,1.556551511066717186e-02,0.000000000000000000e+00
1.259106816520389360e+00,1.705744317790591769e-02,0.000000000000000000e+00
1.268223790193562239e+00,2.116610092298432111e-02,0.000000000000000000e+00
1.277340115368214457e+00,2.527617010601945768e-02,0.000000000000000000e+00
1.286408070182619712e+00,2.949179196003515191e-02,0.000000000000000000e+00
1.295517872225093514e+00,3.361631884538385240e-02,0.000000000000000000e+00
1.304385593584501679e+00,3.823835853699508736e-02,0.000000000000000000e+00
1.312575519548903502e+00,4.397642603569240638e-02,0.000000000000000000e+00
1.320669658467106489e+00,4.984877087513839289e-02,0.000000000000000000e+00
1.329240176769192816e+00,5.500112976876325721e-02,0.000000000000000000e+00
1.338134639155835304e+00,5.957151846055241950e-02,0.000000000000000000e+00
1.347382151766520098e+00,6.337728924951024911e-02,0.000000000000000000e+00
1.356718279792704651e+00,6.696012913524784782e-02,0.000000000000000000e+00
1.366094385845339376e+00,7.043699673331504929e-02,0.000000000000000000e+00
1.375546633253694084e+00,7.370108052266177712e-02,0.000000000000000000e+00
1.385064302718691964e+00,7.676939405271243633e-02,0.000000000000000000e+00
1.394622102798027230e+00,7.971022040299546862e-02,0.000000000000000000e+00
1.404395509561996436e+00,8.182691957443355424e-02,0.000000000000000000e+00
1.414176164250608325e+00,8.390997311674086578e-02,0.000000000000000000e+00
1.422938447379951343e+00,8.872892747680227732e-02,0.000000000000000000e+00
1.432442994286648785e+00,9.183752420907753677e-02,0.000000000000000000e+00
1.442417130416248527e+00,9.255651833363176539e-02,0.000000000000000000e+00
1.452388977727540054e+00,9.330625891745969458e-02,0.000000000000000000e+00
1.462367081142207370e+00,9.396711705698523875e-02,0.000000000000000000e+00
1.472331680528856213e+00,9.480833407919819766e-02,0.000000000000000000e+00
1.482331680305338795e+00,9.479483005117972372e-02,0.000000000000000000e+00
1.492317031644648795e+00,9.533476229008785996e-02,0.000000000000000000e+00
1.499156325925372402e+00,1.026302943535825074e-01,0.000000000000000000e+00
1.509030440694903108e+00,1.042121729803341390e-01,0.000000000000000000e+00
1.518915312910482429e+00,1.057250818820648641e-01,0.000000000000000000e+00
1.528833144109700060e+00,1.070041498466395291e-01,0.000000000000000000e+00
1.538762877164120413e+00,1.081874689119871613e-01,0.000000000000000000e+00
1.548713209583314709e+00,1.091829522881738734e-01,0.000000000000000000e+00
1.558670789927151690e+00,1.101032861299074961e-01,0.000000000000000000e+00
1.568643934235484538e+00,1.108360894582546274e-01,0.000000000000000000e+00
1.578620435477336104e+00,1.115213616597344748e-01,0.000000000000000000e+00
1.588604718701435603e+00,1.120815117936985184e-01,0.000000000000000000e+00
1.598590680392294461e+00,1.126101525289527894e-01,0.000000000000000000e+00
1.608580990837938929e+00,1.130502922896227114e-01,0.000000000000000000e+00
1.618572216810906683e+00,1.134692986279134397e-01,0.000000000000000000e+00
1.628565655308239046e+00,1.138332207389197714e-01,0.000000000000000000e+00
1.638559627863176660e+00,1.141789848913475902e-01,0.000000000000000000e+00
1.648555736648535275e+00,1.144574577855138608e-01,0.000000000000000000e+00
1.658552150609668319e+00,1.147268517003908750e-01,0.000000000000000000e+00
1.668549251216293827e+00,1.149657280378250102e-01,0.000000000000000000e+00
1.678546580704750157e+00,1.151969749808984256e-01,0.000000000000000000e+00
1.688544520544755345e+00,1.153999931648371780e-01,0.000000000000000000e+00
1.698542612972647747e+00,1.155972130090617833e-01,0.000000000000000000e+00
1.708540934282370971e+00,1.157787925948469132e-01,0.000000000000000000e+00
1.718539408179981409e+00,1.159538109014818241e-01,0.000000000000000000e+00
1.728538416135197098e+00,1.160944206395498890e-01,0.000000000000000000e+00
1.738537500384356393e+00,1.162325126774789164e-01,0.000000000000000000e+00
1.748536660927459296e+00,1.163602287390773649e-01,0.000000000000000000e+00
1.758535897764505807e+00,1.164851982187059543e-01,0.000000000000000000e+00
1.768535210895495924e+00,1.165979606673573921e-01,0.000000000000000000e+00
1.778534600320429648e+00,1.167085868855878283e-01,0.000000000000000000e+00
1.788534066039306980e+00,1.168147117611454400e-01,0.000000000000000000e+00
1.798533531758184312e+00,1.169174797031843349e-01,0.000000000000000000e+00
1.808533226358892465e+00,1.169983512834079642e-01,0.000000000000000000e+00
1.818532920959600618e+00,1.170783836302519143e-01,0.000000000000000000e+00
1.828532615560308772e+00,1.171546012799155045e-01,0.000000000000000000e+00
1.838532310161016925e+00,1.172297508143685940e-01,0.000000000000000000e+00
1.848532081055668685e+00,1.172984916575586789e-01,0.000000000000000000e+00
1.858531851950320446e+00,1.173662406794818702e-01,0.000000000000000000e+00
1.868531622844972206e+00,1.174332267619689896e-01,0.000000000000000000e+00
1.878531393739623967e+00,1.174979240261478930e-01,0.000000000000000000e+00
1.888531317222162942e+00,1.175459892106204274e-01,0.000000000000000000e+00
1.898531164410758310e+00,1.175926811041080322e-01,0.000000000000000000e+00
1.908531087893297284e+00,1.176367027095693851e-01,0.000000000000000000e+00
1.918531011375836259e+00,1.176772910875684142e-01,0.000000000000000000e+00
1.928531011152318841e+00,1.176975852765679287e-01,0.000000000000000000e+00
1.938531010928801424e+00,1.177128440652893682e-01,0.000000000000000000e+00
1.948521473962333106e+00,1.172775108230666996e-01,0.000000000000000000e+00
1.953697865448194237e+00,1.258334951288958559e-01,0.000000000000000000e+00
1.963534519891413810e+00,1.276334218464768577e-01,0.000000000000000000e+00
1.973368656634494345e+00,1.294470814739071551e-01,0.000000000000000000e+00
1.983249561565006092e+00,1.309860829043515418e-01,0.000000000000000000e+00
1.993116123234119685e+00,1.326142719548727422e-01,0.000000000000000000e+00
2.003077289393305982e+00,1.334944751822689790e-01,0.000000000000000000e+00
2.012992450304497360e+00,1.347944476873920161e-01,0.000000000000000000e+00
2.022923251474128215e+00,1.359689929492248206e-01,0.000000000000000000e+00
2.032625781164486334e+00,1.383897997798811952e-01,0.000000000000000000e+00
2.042468996886856125e+00,1.401536394621359927e-01,0.000000000000000000e+00
2.052297564172053335e+00,1.419974351972911331e-01,0.000000000000000000e+00
2.062083406848830514e+00,1.440559983837005342e-01,0.000000000000000000e+00
2.071836824599574634e+00,1.462628769964823272e-01,0.000000000000000000e+00
2.081583986246942963e+00,1.484970688410754969e-01,0.000000000000000000e+00
2.091225099312697289e+00,1.511523269604367892e-01,0.000000000000000000e+00
2.101101808076310640e+00,1.527173446256512301e-01,0.000000000000000000e+00
2.110633668214819458e+00,1.557413313744661076e-01,0.000000000000000000e+00
2.115837067756717538e+00,1.642809124824197164e-01,0.000000000000000000e+00
2.125464905676284211e+00,1.669836254347046856e-01,0.000000000000000000e+00
2.134989441596206738e+00,1.700306529544889367e-01,0.000000000000000000e+00
2.144672668918832237e+00,1.725276774348089015e-01,0.000000000000000000e+00
2.153932922618099433e+00,1.763019388250569586e-01,0.000000000000000000e+00
2.159714325076765640e+00,1.844612709180722954e-01,0.000000000000000000e+00
2.169150207434216604e+00,1.877728858342863072e-01,0.000000000000000000e+00
2.178041045858537750e+00,1.923501409810001173e-01,0.000000000000000000e+00
2.172545135336849675e+00,2.007044803938754507e-01,0.000000000000000000e+00
2.181803100217808655e+00,2.044848452996120836e-01,0.000000000000000000e+00
